"nome","data_inicio","escritorio","area","tipo","palavras_chaves","origem","iniciais_originadores","valor_da_transacao","valor_fee_sucesso","valor_fee_mensal","expectativa_fechamento","status_atual","data_conclusao_conforme_status","qtde_negocios_com_o_cliente","ult_interacao","interesse(target)"
negocio822,"25/04/2019",Araujo Fontes BH,M&A Buy Side,Lead,,,EF,,,,,Concluído sem sucesso,"04/12/2019",9,"09/09/2019","1"
negocio823,"26/04/2019",Araujo Fontes BH,Dívida Reperfilamento,Proposta,,,"DU,EF,LT",50000000.00,1060000.00,,"27/09/2019",Concluído sem sucesso,,2,"04/06/2019","3"
negocio824,"28/04/2019",,Assessoria Estratégica,Lead,,,AR,,,,,Concluído sem sucesso,"06/05/2021",1,"28/04/2019",
negocio825,"15/04/2019",Araujo Fontes Rib. Preto,Assessoria Estratégica,Lead,,,AR,,,,"17/05/2019",Concluído sem sucesso,"31/05/2019",1,"24/05/2019",
negocio827,"28/04/2019",,Assessoria Estratégica,Lead,,,AR,,,,,Ativo,,1,"28/04/2019",
negocio828,"28/04/2019",,Dívida Captação,Lead,,,AR,,,,,Ativo,,1,"28/04/2019",
negocio829,"28/04/2019",,Dívida Reperfilamento,Lead,,,AR,,,,,Ativo,,1,"28/04/2019",
negocio830,"29/04/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,FS,35000000.00,1050000.00,,"31/05/2019",Concluído sem sucesso,,1,"15/05/2019","3"
negocio831,"29/04/2019",Araujo Fontes BH,Dívida Reperfilamento,Lead,,,MA,60000000.00,1800000.00,,"31/12/2019",Concluído sem sucesso,,1,"30/07/2019",
negocio832,"30/04/2019",,Assessoria Estratégica,Pré-Lead,,,,,,,,Concluído sem sucesso,,1,"30/04/2019",
negocio833,"03/04/2019",Araujo Fontes BH,Dívida Captação,Proposta,,,LT,8000000.00,264000.00,,,Concluído sem sucesso,,1,"11/09/2019","3"
