"nome","data_inicio","escritorio","area","tipo","palavras_chaves","origem","iniciais_originadores","valor_da_transacao","valor_fee_sucesso","valor_fee_mensal","expectativa_fechamento","status_atual","data_conclusao_conforme_status","qtde_negocios_com_o_cliente","ult_interacao","interesse(target)"
negocio1,"03/09/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,BD,,,,"31/10/2018",Concluído sem sucesso,,1,"10/01/2019","5"
negocio6,"10/10/2018",Araujo Fontes BH,Imobiliário,Projeto,,,EF,25000000.00,500000.00,,"30/11/2020",Ativo,,3,"25/08/2020","2"
negocio7,"17/09/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,"LK,MB",70000000.00,,,"16/11/2018",Concluído sem sucesso,"01/07/2019",2,"06/06/2019",
negocio11,"11/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,,75000000.00,,,"30/11/2018",Concluído sem sucesso,,1,"13/12/2018",
negocio12,"03/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,,,,,"22/11/2018",Inativo,,1,"13/12/2018","5"
negocio13,"01/10/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,,5000000.00,,,"31/10/2018",Concluído sem sucesso,,1,"13/12/2018",
negocio15,"22/10/2018",Araujo Fontes BH,Assessoria Estratégica,Lead,,,,250000000.00,5000000.00,,"31/12/2018",Concluído sem sucesso,,1,"13/12/2018","4"
negocio18,"18/07/2018",Araujo Fontes BH,Imobiliário,Lead,,,,40000000.00,,,"31/12/2020",Inativo,,1,"25/06/2019",
negocio19,"10/04/2018",Araujo Fontes BH,Imobiliário,Lead,,,,2400000000.00,,,"31/12/2020",Ativo,,1,"13/12/2018",
negocio21,"23/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,,20000000.00,,,"31/12/2018",Ativo,,1,"26/12/2018","4"
negocio24,"13/12/2018",,Câmbio,Lead,,,,,,,,Ativo,,1,"28/10/2019",
negocio25,"25/10/2018",Araujo Fontes BH,Gestão de Recursos,Lead,,,LT,20000000.00,,,"31/10/2018",Inativo,,3,"10/01/2019","4"
negocio26,"29/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,,25000000.00,,,"30/11/2018",Concluído com sucesso,,2,"09/01/2019","4"
negocio30,"01/11/2018",Araujo Fontes BH,Imobiliário,Lead,,,,150000000.00,1500000.00,,"28/02/2019",Concluído sem sucesso,"22/02/2021",2,"28/01/2019","5"
negocio31,"15/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,DU,50000000.00,,,"31/12/2018",Concluído com sucesso,,1,"10/01/2019","5"
negocio35,"01/11/2018",Araujo Fontes BH,Imobiliário,Lead,,,,500000.00,,,"05/03/2019",Concluído com sucesso,,2,"13/12/2018",
negocio37,"05/11/2018",,Assessoria Estratégica,Lead,,,FP,,,,"14/11/2018",Concluído com sucesso,,2,"13/12/2018",
negocio38,"05/11/2018",,Assessoria Estratégica,Lead,,,,,,,"12/11/2018",Concluído sem sucesso,"10/06/2020",1,"19/03/2019",
negocio39,"05/05/2016",Araujo Fontes Goiânia,Imobiliário,Lead,,,FP,,,,,Concluído sem sucesso,"10/06/2020",2,"11/06/2019",
negocio40,"07/11/2017",Araujo Fontes Goiânia,Imobiliário,Lead,,,,,,,"31/01/2019",Concluído sem sucesso,"28/10/2020",1,"10/06/2020",
negocio41,"02/05/2018",Araujo Fontes Goiânia,Dívida Captação,Lead,,,FP,,,,"14/01/2019",Concluído sem sucesso,,1,"21/07/2019",
negocio42,"27/04/2018",,Assessoria Estratégica,Lead,,,,,,,"31/01/2019",Concluído sem sucesso,"10/06/2020",1,"20/03/2019",
negocio45,"08/11/2018",Araujo Fontes BH,Imobiliário,Lead,,,,50000000.00,,,"31/03/2019",Inativo,,1,"22/02/2021",
negocio48,"14/11/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,,5000000.00,,,"31/12/2018",Concluído sem sucesso,,1,"13/12/2018","5"
negocio49,"13/11/2018",Araujo Fontes BH,Imobiliário,Lead,,,,20000000.00,,,"21/12/2018",Inativo,,1,"17/12/2018",
negocio51,"08/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,DU,100000000.00,2000000.00,,"31/05/2019",Concluído sem sucesso,"22/02/2021",2,"17/12/2018","1"
negocio52,"08/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,,40000000.00,,,"31/12/2018",Concluído sem sucesso,"22/02/2021",2,"24/01/2019","5"
negocio54,"14/11/2018",Araujo Fontes BH,Imobiliário,Lead,,,,30000000.00,,,"01/08/2019",Concluído sem sucesso,,1,"26/12/2018",
negocio55,"01/08/2018",Araujo Fontes BH,Imobiliário,Lead,,,,600000.00,,,"31/12/2018",Concluído sem sucesso,"22/02/2021",1,"04/01/2019","5"
negocio57,"30/09/2018",Araujo Fontes BH,Imobiliário,Lead,,,,100000000.00,,,"31/01/2019",Concluído sem sucesso,"22/02/2021",1,"13/12/2018",
negocio58,"22/11/2018",Araujo Fontes BH,Imobiliário,Lead,,,EF,15000000.00,600000.00,,"30/06/2019",Concluído sem sucesso,,1,"05/06/2019",
negocio59,"15/10/2018",Araujo Fontes BH,Assessoria Estratégica,Lead,,,BD,20000000.00,,,"31/12/2018",Concluído sem sucesso,,1,"21/08/2019","5"
negocio60,"23/11/2018",Araujo Fontes BH,Assessoria Estratégica,Lead,,,,200000000.00,,,"31/01/2019",Concluído sem sucesso,"26/05/2020",1,"25/03/2021","5"
negocio62,"25/11/2018",Araujo Fontes BH,Imobiliário,Lead,,,"DU,EF",,,,"31/12/2018",Concluído sem sucesso,"09/11/2020",2,"26/11/2018","5"
negocio63,"18/10/2018",Araujo Fontes BH,Dívida Captação,Lead,,,"LK,MA",120000000.00,,,"28/12/2018",Concluído sem sucesso,"31/01/2019",1,"13/12/2018","2"
negocio66,"27/11/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,,30000000.00,,,"28/02/2019",Concluído sem sucesso,,1,"28/03/2019","5"
negocio68,"27/11/2018",Araujo Fontes Goiânia,Dívida Reperfilamento,Lead,,,,10000000.00,,,"17/12/2018",Concluído sem sucesso,,1,"13/12/2018","5"
negocio69,"29/08/2018",Araujo Fontes BH,Imobiliário,Proposta,,,DU,70000000.00,,,"31/12/2018",Ativo,,6,"04/01/2019",
negocio70,"09/10/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,,,,,"31/12/2018",Concluído sem sucesso,,1,"13/12/2018",
negocio71,"28/11/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,EF,25000000.00,500000.00,,"31/01/2019",Ativo,,1,"30/07/2021","5"
negocio73,"02/10/2018",Araujo Fontes BH,Imobiliário,Lead,,,,30000000.00,,,"31/12/2018",Concluído com sucesso,,1,"13/12/2018",
negocio75,"13/12/2018",Araujo Fontes BH,M&A Sell Side,Lead,,,,,,,,Concluído sem sucesso,,1,"13/12/2018",
negocio79,"13/12/2018",Araujo Fontes BH,Imobiliário,Lead,,,,,,,,Concluído sem sucesso,,2,"04/01/2019","4"
negocio80,"31/01/2019",Araujo Fontes BH,M&A Sell Side,Proposta,,,Gd,50000000.00,,,"20/12/2019",Concluído sem sucesso,"10/06/2020",2,"22/11/2019","1"
negocio81,"16/04/2018",Araujo Fontes BH,Imobiliário,Lead,,,,20000000.00,,,"20/11/2019",Concluído sem sucesso,"09/11/2019",3,"09/11/2019",
negocio82,"05/12/2018",Araujo Fontes Goiânia,Dívida Reperfilamento,Lead,,,,,,,"30/01/2019",Concluído sem sucesso,,1,"05/06/2019",
negocio94,"12/12/2018",,Dívida Captação,Proposta,,,Gd,200000000.00,7000000.00,2160000000.00,,Concluído sem sucesso,,2,"28/10/2019",
negocio95,"20/11/2014",Araujo Fontes BH,M&A Sell Side,Projeto,"Software,tecnologia",,EF,110000000.00,800000.00,,"28/02/2022",Ativo,,1,"25/01/2022","4"
negocio96,"19/04/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,DU,50000000.00,2000000.00,240000.00,"31/07/2018",Concluído sem sucesso,,3,"05/06/2019","5"
negocio99,"22/04/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,50000000.00,1000000.00,240000.00,"30/06/2018",Concluído sem sucesso,,1,"05/06/2019","1"
negocio100,"01/01/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,40000000.00,800000.00,95000.00,"30/04/2019",Concluído sem sucesso,,1,"13/12/2018",
negocio102,"12/12/2018",Araujo Fontes BH,M&A Buy Side,Proposta,,,,0.00,0.00,150000.00,,Concluído sem sucesso,,3,"28/10/2019","4"
negocio103,"12/12/2018",,Dívida Reperfilamento,Proposta,,,,50000000.00,1375000.00,15000000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio105,"19/06/2018",Araujo Fontes BH,M&A Sell Side,Projeto,,,MA,250000000.00,3750000.00,100000.00,"30/04/2021",Inativo,,1,"02/12/2020","1"
negocio108,"12/12/2018",,M&A Sell Side,Proposta,,,MA,20000000.00,500000.00,80000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio109,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,MA,50000000.00,1000000.00,,,Concluído sem sucesso,,2,"28/10/2019","2"
negocio116,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,MA,15000000.00,450000.00,90000.00,,Ativo,,1,"19/11/2019","2"
negocio119,"12/12/2018",,M&A Buy Side,Proposta,,,MA,100000000.00,1500000.00,15000000.00,,Concluído sem sucesso,,3,"28/10/2019",
negocio120,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,EF,10000000.00,450000.00,45000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio122,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,50000000.00,2000000.00,200000.00,,Concluído sem sucesso,,1,"28/10/2019","1"
negocio123,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,100000000.00,3500000.00,168000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio124,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,LT,30000000.00,900000.00,246000.00,,Concluído sem sucesso,,1,"28/10/2019","1"
negocio126,"19/02/2018",Araujo Fontes Rib. Preto,M&A Sell Side,Proposta,,,,30000000.00,900000.00,120000.00,"30/04/2018",Concluído sem sucesso,,1,"05/06/2019","5"
negocio130,"12/12/2018",Araujo Fontes BH,Dívida Captação,Proposta,,,,20000000.00,1200000.00,12000000000.00,,Concluído sem sucesso,,2,"28/10/2019",
negocio131,"08/05/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,30000000.00,1500000.00,270000.00,"30/09/2018",Concluído sem sucesso,"22/01/2020",2,"31/01/2022","5"
negocio132,"03/06/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,20000000.00,700000.00,144000.00,"30/06/2018",Concluído sem sucesso,,1,"05/06/2019",
negocio133,"05/02/2018",Araujo Fontes BH,Dívida Captação,Proposta,,,,200000000.00,4600000.00,36000000.00,"31/05/2018",Concluído sem sucesso,,3,"05/06/2019","4"
negocio136,"12/12/2018",Araujo Fontes BH,Imobiliário,Proposta,,,DU,200000000.00,8000000.00,,,Concluído sem sucesso,,2,"28/10/2019","3"
negocio137,"05/02/2018",Araujo Fontes BH,Dívida Captação,Proposta,,,LT,30000000.00,1050000.00,26400000.00,"31/05/2018",Concluído sem sucesso,,1,"05/06/2019","5"
negocio138,"12/12/2018",,Dívida Reperfilamento,Proposta,,,,800000.00,24000.00,138000.00,,Concluído sem sucesso,,3,"28/10/2019",
negocio139,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,35000000.00,1400000.00,120000.00,,Concluído sem sucesso,,1,"13/12/2018","1"
negocio140,"01/04/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,12000000.00,600000.00,150000.00,,Concluído sem sucesso,,1,"05/06/2019","5"
negocio141,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,15000000.00,525000.00,216000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio148,"12/12/2018",,M&A Sell Side,Proposta,,,,20000000.00,800000.00,6000000.00,,Concluído sem sucesso,,2,"13/12/2018",
negocio149,"12/12/2018",,Assessoria Estratégica,Proposta,,,EF,60000000.00,2100000.00,240000.00,,Concluído sem sucesso,,5,"05/03/2021",
negocio151,"01/05/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,FB,20000000.00,800000.00,72000.00,"31/08/2018",Concluído sem sucesso,,1,"05/06/2019","5"
negocio154,"12/12/2018",,Consultoria,Proposta,,,,0.00,0.00,120000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio155,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,15000000.00,570000.00,240000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio158,"12/12/2018",,M&A Sell Side,Proposta,,,,10000000.00,500000.00,120000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio159,"17/04/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,LT,200000000.00,6600000.00,132000.00,"30/09/2018",Concluído sem sucesso,,2,"05/06/2019","5"
negocio161,"11/12/2018",,Assessoria Estratégica,Projeto,,,,50000000.00,1500000.00,,,Concluído sem sucesso,,6,"28/10/2019",
negocio163,"12/12/2018",Araujo Fontes BH,Assessoria Estratégica,Proposta,,,LT,30000000.00,1050000.00,2006000000.00,,Concluído sem sucesso,,1,"28/10/2019","2"
negocio164,"12/12/2018",Araujo Fontes BH,Dívida Reperfilamento,Proposta,,,,100000000.00,3500000.00,144000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio168,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,20000000.00,700000.00,240000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio170,"15/07/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,60000000.00,3000000.00,,"30/11/2018",Concluído sem sucesso,"23/01/2020",1,"23/01/2020",
negocio173,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,50000000.00,1750000.00,240000.00,,Concluído sem sucesso,,1,"28/10/2019","4"
negocio176,"31/07/2018",Araujo Fontes Rib. Preto,Dívida Reperfilamento,Proposta,,,,150000000.00,6000000.00,100000.00,"31/12/2018",Concluído sem sucesso,,1,"05/06/2019",
negocio177,"12/12/2018",Araujo Fontes Rib. Preto,M&A Sell Side,Proposta,,,AR,180000000.00,7200000.00,1280000.00,"30/10/2020",Inativo,,1,"03/08/2019",
negocio181,"12/12/2018",,M&A Sell Side,Proposta,,,,30000000.00,900000.00,240000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio184,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,,,60000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio185,"12/12/2018",,Dívida Captação,Proposta,,,,30000000.00,1050000.00,140000.00,,Concluído sem sucesso,,2,"28/10/2019",
negocio186,"12/12/2018",Araujo Fontes BH,Dívida Captação,Proposta,,,,30000000.00,1200000.00,7200000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio191,"12/12/2018",Araujo Fontes Goiânia,Dívida Reperfilamento,Proposta,,,,20000000.00,500000.00,150000.00,,Concluído sem sucesso,,2,"28/10/2019","2"
negocio192,"01/08/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,14000000.00,700000.00,180000.00,"30/11/2018",Concluído sem sucesso,,1,"05/06/2019",
negocio195,"03/07/2018",Araujo Fontes BH,Consultoria,Projeto,,,JM,,,4000.00,"27/06/2019",Concluído com sucesso,"27/06/2019",1,"02/07/2019","4"
negocio202,"08/08/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,MA,50000000.00,1000000.00,150000.00,,Concluído sem sucesso,"06/02/2020",1,"13/12/2018","3"
negocio203,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,30000000.00,750000.00,800000.00,,Concluído sem sucesso,"31/08/2018",1,"29/01/2020","1"
negocio204,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,MA,100000000.00,5000000.00,10000000.00,,Concluído sem sucesso,"31/10/2018",1,"29/01/2020","2"
negocio205,"12/12/2018",Araujo Fontes BH,M&A Buy Side,Proposta,,,,,,290000.00,,Concluído sem sucesso,,2,"28/10/2019","4"
negocio206,"12/12/2018",Araujo Fontes BH,Imobiliário,Proposta,,,,30000000.00,1500000.00,120000.00,,Concluído sem sucesso,,1,"28/10/2019","2"
negocio207,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,MA,100000000.00,3500000.00,160000.00,,Concluído sem sucesso,,3,"19/12/2019","2"
negocio208,"12/12/2018",Araujo Fontes BH,Dívida Reperfilamento,Proposta,,,BD,20000000.00,700000.00,108000.00,,Concluído sem sucesso,,2,"28/10/2019","3"
negocio209,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,30000000.00,990000.00,264000.00,,Concluído sem sucesso,,2,"08/10/2019","1"
negocio210,"12/12/2018",Araujo Fontes BH,Dívida Reperfilamento,Proposta,,,,100000000.00,3000000.00,24000000.00,,Concluído sem sucesso,,1,"28/10/2019","2"
negocio211,"07/01/2019",Araujo Fontes BH,M&A Sell Side,Proposta,,,,60000000.00,1500000.00,2160000000.00,"30/06/2020",Concluído sem sucesso,,2,"05/06/2019","1"
negocio212,"21/03/2018",Araujo Fontes Rib. Preto,Dívida Captação,Proposta,,,AR,25000000.00,500000.00,180000.00,"29/03/2019",Concluído sem sucesso,,2,"01/07/2019","2"
negocio214,"12/12/2018",Araujo Fontes Rib. Preto,Assessoria Estratégica,Proposta,,,,35000000.00,1225000.00,240000.00,,Concluído sem sucesso,,2,"28/10/2019","2"
negocio221,"12/12/2018",Araujo Fontes BH,Assessoria Estratégica,Proposta,,,,,,240000.00,,Concluído sem sucesso,,1,"28/10/2019","4"
negocio222,"12/12/2018",Araujo Fontes BH,Dívida Reperfilamento,Proposta,,,,60000000.00,1320000.00,160000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio228,"30/08/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,EF,25000000.00,750000.00,300000.00,"31/08/2020",Ativo,,1,"29/11/2021","3"
negocio232,"29/11/2018",Araujo Fontes BH,M&A Sell Side,Projeto,,,EF,80000000.00,2400000.00,145050.00,"31/03/2020",Concluído sem sucesso,"01/09/2020",3,"21/08/2020","2"
negocio234,"12/12/2018",,M&A Sell Side,Proposta,,,,,,135000.00,,Concluído sem sucesso,,2,"08/07/2021",
negocio235,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,MA,,,180000000.00,,Concluído sem sucesso,"01/03/2019",2,"07/11/2019",
negocio236,"29/11/2018",Araujo Fontes BH,Consultoria,Proposta,,,,,,40000.00,"30/11/2018",Concluído sem sucesso,"29/09/2021",3,"21/05/2019","5"
negocio239,"20/09/2018",Araujo Fontes BH,M&A Sell Side,Projeto,,,EF,15000000.00,450000.00,180000.00,"26/02/2021",Concluído sem sucesso,"15/12/2021",1,"30/09/2021","3"
negocio240,"01/06/2019",Araujo Fontes BH,Consultoria,Projeto,,,,,,50000.00,"31/12/2019",Concluído com sucesso,"18/11/2019",2,"18/11/2019","5"
negocio244,"12/12/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,,,15000000.00,,Concluído sem sucesso,,1,"28/10/2019","5"
negocio246,"12/12/2018",Araujo Fontes BH,Assessoria Estratégica,Proposta,,,EF,,,1040000.00,,Concluído sem sucesso,,1,"28/10/2019",
negocio247,"01/10/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,,140000000.00,3500000.00,120000.00,"31/12/2018",Concluído sem sucesso,,1,"15/01/2019","4"
negocio249,"12/12/2018",Araujo Fontes BH,M&A Buy Side,Proposta,,,,,,100000.00,,Ativo,,1,"28/10/2019",
negocio250,"12/12/2018",,Consultoria,Proposta,,,,,,40000.00,,Ativo,,2,"28/10/2019",
negocio255,"04/11/2018",Araujo Fontes BH,Dívida Reperfilamento,Proposta,,,EF,,,630000.00,"30/11/2018",Concluído sem sucesso,,4,"05/06/2019",
negocio256,"04/11/2018",Araujo Fontes BH,M&A Sell Side,Proposta,,,EF,,,,"30/11/2018",Concluído sem sucesso,,4,"05/06/2019","4"
negocio265,"19/09/2018",Araujo Fontes Goiânia,M&A Sell Side,Proposta,,,,25000.00,875.00,120000.00,"03/12/2018",Concluído sem sucesso,,1,"28/10/2019",
negocio270,"01/01/2019",Araujo Fontes BH,Consultoria,Proposta,,,BD,,,,"31/01/2019",Concluído sem sucesso,,1,"21/01/2019","5"
negocio271,"31/01/2019",Araujo Fontes BH,M&A Sell Side,Projeto,,,"EF,Gd",50000000.00,1750000.00,30000.00,"29/10/2021",Concluído sem sucesso,"03/05/2021",1,"03/05/2021","1"
negocio272,"09/12/2018",Araujo Fontes BH,Seguros,Proposta,,,MA,,,,"31/12/2018",Inativo,,4,"17/02/2020",
negocio274,"23/01/2018",Araujo Fontes BH,Fusão com Definição de Alternativas Estratégicas,Projeto,,,,50000000.00,1500000.00,240000.00,"28/02/2020",Concluído sem sucesso,"28/01/2020",5,"31/12/1969",
negocio275,"04/02/2018",Araujo Fontes BH,M&A Sell Side,Projeto,,,EF,60000000.00,600000.00,,"31/12/2019",Concluído sem sucesso,"20/09/2020",1,"05/04/2019","1"
negocio276,"21/06/2017",,M&A Sell Side,Projeto,,,EF,82368379.00,823683.79,11929.19,"30/06/2018",Concluído com sucesso,"28/05/2018",6,"12/05/2021",
negocio277,"29/07/2015",Araujo Fontes BH,M&A Sell Side,Projeto,,,"EF,GE",400000000.00,4000000.00,,"31/07/2019",Concluído com sucesso,"26/03/2019",10,"26/08/2021",
negocio278,"20/01/2018",Araujo Fontes BH,M&A Sell Side,Projeto,,,EF,1000000.00,,,"30/06/2019",Concluído com sucesso,,7,"30/08/2019","3"
negocio279,"15/01/2018",,M&A Sell Side,Projeto,,,,100000000.00,2000000.00,,"30/08/2019",Concluído sem sucesso,"28/01/2020",1,"06/02/2019",
negocio280,"02/12/2017",Araujo Fontes BH,M&A Buy Side,Projeto,"Aquisição,cafe",,MA,,,,"31/12/2018",Inativo,,3,"13/12/2018","1"
negocio281,"31/01/2016",Araujo Fontes BH,M&A Sell Side,Projeto,,,Gd,120000000.00,3300000.00,,"02/01/2019",Concluído com sucesso,"02/01/2019",2,"16/12/2019","1"
negocio282,"21/01/2018",,M&A Sell Side,Projeto,,,,20000000.00,600000.00,,"31/07/2018",Concluído sem sucesso,,1,"13/12/2018",
negocio283,"05/06/2017",,M&A Sell Side,Projeto,,,EF,38500000.00,,,"31/08/2018",Concluído com sucesso,"28/08/2018",1,"31/08/2021",
negocio284,"16/09/2016",Araujo Fontes BH,M&A Sell Side,Projeto,,,AF,70000000.00,,315000.00,"31/12/2017",Concluído com sucesso,"22/06/2018",2,"13/12/2018","1"
negocio285,"08/02/2018",Araujo Fontes BH,M&A Sell Side,Projeto,"fazenda,gerdau",,EF,30000000.00,900000.00,,"30/06/2020",Concluído sem sucesso,"24/01/2020",1,"03/03/2020","2"
negocio286,"04/07/2018",Araujo Fontes BH,M&A Sell Side,Projeto,,,EF,5000000.00,,,"20/02/2019",Concluído com sucesso,,2,"20/02/2019","3"
negocio287,"29/06/2015",,Dívida Reperfilamento,Projeto,,,,,,,"31/08/2019",Concluído sem sucesso,"26/03/2020",6,"18/06/2019",
negocio288,"13/04/2013",Araujo Fontes BH,M&A Sell Side,Projeto,,,MA,10000000.00,430000.00,,"30/10/2020",Ativo,,1,"11/08/2021","2"
negocio289,"14/06/2017",Araujo Fontes BH,M&A Sell Side,Projeto,Magnus,,JM,16044785.00,401119.63,,"25/05/2020",Concluído com sucesso,"19/06/2020",2,"22/06/2020","1"
negocio290,"29/11/2015",,M&A Sell Side,Projeto,,,Gd,10000000.00,100000.00,,"01/07/2016",Concluído com sucesso,"01/07/2016",1,"13/12/2018",
negocio291,"29/11/2017",Araujo Fontes BH,M&A Sell Side,Projeto,,,,12000000.00,240000.00,,"31/05/2019",Concluído sem sucesso,,1,"08/10/2019","4"
negocio293,"11/12/2018",,M&A Sell Side,Projeto,,,,,,,,Concluído sem sucesso,"23/01/2020",5,"15/03/2019",
negocio294,"11/12/2018",,Dívida Reperfilamento,Projeto,,,LT,5000000.00,125000.00,45000.00,"28/10/2019",Concluído com sucesso,,3,"13/12/2018",
negocio295,"11/12/2018",,Consultoria,Projeto,,,,,,,,Concluído com sucesso,,1,"13/12/2018",
negocio296,"11/12/2018",,Dívida Reperfilamento,Projeto,,,LT,,,129000.00,,Concluído com sucesso,,1,"13/12/2018",
negocio297,"29/03/2019",,Dívida Reperfilamento,Projeto,,,LT,13333333.33,400000.00,75000.00,"30/06/2019",Concluído com sucesso,"06/11/2019",1,"19/12/2019",
negocio298,"30/07/2016",,M&A Sell Side,Projeto,,,,800000000.00,16000000.00,,"31/12/2019",Concluído sem sucesso,"30/04/2019",2,"13/12/2018",
negocio299,"11/12/2018",,Dívida Reperfilamento,Projeto,,,,,,60000.00,,Concluído com sucesso,,5,"28/10/2019",
negocio300,"11/12/2018",Araujo Fontes BH,M&A Sell Side,Projeto,,,MA,,,,,Concluído com sucesso,,5,"16/12/2019",
negocio302,"15/05/2018",Araujo Fontes BH,Imobiliário,Lead,,,DU,16000000.00,960000.00,,"31/03/2019",Concluído sem sucesso,"12/03/2019",1,"13/12/2018",
negocio303,"14/10/2017",Araujo Fontes BH,Dívida Reperfilamento,Projeto,,,LT,1000.00,1.00,,"31/08/2018",Concluído com sucesso,"31/08/2018",6,"13/12/2018","2"
negocio304,"11/12/2018",Araujo Fontes BH,M&A Sell Side,Projeto,,,FB,,,,,Concluído sem sucesso,"23/01/2020",3,"18/02/2019",
negocio305,"30/09/2017",Araujo Fontes BH,M&A Sell Side,Projeto,,,AT,15000000.00,450000.00,,"01/12/2019",Concluído sem sucesso,"23/01/2020",2,"10/05/2019","3"
negocio306,"28/02/2016",,M&A Sell Side,Projeto,,,,,,,"30/06/2017",Concluído sem sucesso,"05/06/2019",2,"22/01/2020",
negocio307,"20/02/2017",,Imobiliário,Projeto,,,,75000000.00,1875000.00,,"31/03/2019",Concluído sem sucesso,"23/01/2020",1,"13/12/2018",
negocio309,"11/12/2018",,Dívida Reperfilamento,Projeto,,,,,,,,Concluído com sucesso,,3,"28/10/2019",
negocio310,"30/01/2017",Araujo Fontes BH,M&A Sell Side,Projeto,,,EF,10000000.00,200000.00,,"31/12/2019",Inativo,,2,"20/05/2019","3"
negocio311,"11/12/2018",,M&A Sell Side,Projeto,,,,,,,,Concluído sem sucesso,"31/12/2018",1,"13/12/2018",
negocio314,"11/12/2018",,M&A Sell Side,Projeto,,,,,,,,Concluído sem sucesso,"28/12/2018",3,"13/12/2018",
negocio315,"11/12/2018",,Dívida Reperfilamento,Projeto,,,,,,,,Concluído sem sucesso,,1,"28/10/2019",
negocio316,"11/12/2018",,Dívida Reperfilamento,Projeto,,,LT,13077411.27,496941.63,90000.00,"28/10/2019",Concluído com sucesso,,1,"13/12/2018",
negocio317,"11/12/2018",Araujo Fontes BH,Dívida Reperfilamento,Projeto,,,,,,,,Concluído sem sucesso,,2,"23/02/2019","4"
negocio318,"15/04/2018",,Imobiliário,Projeto,,,,21000000.00,798000.00,,"31/03/2019",Concluído sem sucesso,"31/10/2018",1,"18/02/2019",
negocio319,"30/12/2018",Araujo Fontes BH,M&A Sell Side,Projeto,,,,60000000.00,2400000.00,,"31/12/2019",Concluído sem sucesso,"17/06/2019",5,"17/06/2019",
negocio320,"01/10/2016",,M&A Sell Side,Projeto,,,,50000000.00,1250000.00,,"31/12/2019",Concluído sem sucesso,"02/08/2019",2,"13/12/2018",
negocio321,"14/05/2018",,M&A Sell Side,Projeto,,,,,,,"06/02/2019",Concluído sem sucesso,"12/09/2018",1,"13/12/2018",
